epoch,loss,BinaryAccuracy,MSE,Test_loss,Test_BinaryAccuracy,Test_MSE
0,0.24210334963658275,0.61764705,0.24210332,0.22565089,0.6712963,0.22565089
1,0.23663589340798996,0.62352943,0.23663592,0.22615758,0.6712963,0.22615759
2,0.23779346259201276,0.61764705,0.23779345,0.22432092,0.6712963,0.22432093
3,0.23644259344129,0.62352943,0.2364426,0.22414415,0.6712963,0.22414413
4,0.23559082904282738,0.62352943,0.23559083,0.21974127,0.6712963,0.21974127
5,0.23700927531017976,0.61764705,0.23700926,0.21962331,0.6712963,0.21962331
6,0.23347890298156176,0.62352943,0.2334789,0.21869405,0.6712963,0.21869403
7,0.23218094031600392,0.62941176,0.23218092,0.21836607,0.6712963,0.21836607
8,0.23151041654979482,0.6117647,0.23151042,0.23420478,0.5763889,0.23420478
9,0.23206969385637957,0.58235294,0.23206973,0.2207105,0.6458333,0.22071052
10,0.22905376991804907,0.61764705,0.22905377,0.21683148,0.650463,0.21683148
11,0.22451135139254963,0.60588235,0.22451134,0.21326345,0.6481481,0.21326345
12,0.2183476848199087,0.5882353,0.21834768,0.21286029,0.6157407,0.21286029
13,0.20989399604937609,0.59411764,0.20989402,0.19981636,0.6597222,0.19981636
14,0.2005035978029756,0.62352943,0.20050356,0.19185507,0.662037,0.19185506
15,0.1873976562939146,0.59411764,0.18739766,0.1828503,0.6828704,0.18285032
16,0.1755834991523229,0.68235296,0.1755835,0.17502867,0.6666667,0.17502865
17,0.1660171217230313,0.6647059,0.16601713,0.16431095,0.7337963,0.16431095
18,0.158467219164595,0.7352941,0.15846722,0.1545739,0.7662037,0.1545739
19,0.14470721478847898,0.7941176,0.14470719,0.1492305,0.7962963,0.1492305
20,0.12826934243031943,0.8352941,0.12826933,0.13031177,0.8078704,0.13031177
21,0.11631878527867444,0.86470586,0.116318785,0.11250042,0.8819444,0.11250043
22,0.09382091306478661,0.91764706,0.093820915,0.091897346,0.8958333,0.09189734
23,0.07277740871752886,0.9588235,0.072777405,0.06808921,0.962963,0.06808921
24,0.052241834395510306,0.9941176,0.052241832,0.052718982,0.9814815,0.05271899
25,0.03643343911561019,1.0,0.03643344,0.03364599,0.9976852,0.03364599
26,0.026183116285349518,1.0,0.026183117,0.026533978,1.0,0.026533978
27,0.020026922461521976,1.0,0.020026924,0.019847391,1.0,0.019847391
