epoch,loss,BinaryAccuracy,MSE,Val_loss,Val_BinaryAccuracy,Val_MSE
0,0.24164205894750707,0.62352943,0.24164207,0.2252366,0.6712963,0.2252366
1,0.23583041482111988,0.62352943,0.2358304,0.22609337,0.6712963,0.22609337
2,0.23620142577325595,0.61764705,0.2362014,0.22381967,0.6712963,0.22381967
3,0.233761670747224,0.62352943,0.23376168,0.22396041,0.6712963,0.22396043
4,0.23210288926082498,0.6,0.2321029,0.21893908,0.6712963,0.21893905
5,0.23361212225521313,0.60588235,0.2336121,0.21923448,0.6689815,0.21923448
6,0.23072304725646972,0.61764705,0.23072304,0.2196081,0.6712963,0.2196081
7,0.2299454399768044,0.63529414,0.22994547,0.21967328,0.6643519,0.21967328
8,0.23013980441233692,0.63529414,0.2301398,0.23718472,0.5717593,0.23718473
9,0.231813491661759,0.61764705,0.23181346,0.22288798,0.6481481,0.22288798
10,0.2301179092596559,0.62941176,0.23011792,0.22048435,0.650463,0.22048435
11,0.22876239603056628,0.62352943,0.22876239,0.22029485,0.6527778,0.22029485
12,0.2281733185491141,0.62941176,0.22817333,0.22501351,0.6296296,0.2250135
13,0.2265583253082107,0.6,0.22655833,0.21832007,0.650463,0.21832007
14,0.2244231566786766,0.62941176,0.22442317,0.21383296,0.6527778,0.21383294
15,0.21697284535450093,0.61764705,0.21697284,0.2072684,0.650463,0.2072684
16,0.20581853363443822,0.65882355,0.20581852,0.20127478,0.6365741,0.20127478
17,0.19702869303086223,0.5882353,0.19702868,0.19123656,0.6689815,0.19123656
18,0.19034808637464748,0.64705884,0.19034807,0.18181314,0.6828704,0.18181312
19,0.17704047877341508,0.7117647,0.17704049,0.17674609,0.6296296,0.17674607
20,0.16425648722386754,0.7294118,0.16425648,0.16815431,0.7430556,0.16815431
21,0.15996679179096485,0.7235294,0.1599668,0.16179085,0.7523148,0.16179086
22,0.15018308774349007,0.7764706,0.15018307,0.15310284,0.75,0.15310283
23,0.13982448173029458,0.81764704,0.13982448,0.14235775,0.8009259,0.14235775
24,0.12643207367509604,0.8235294,0.12643208,0.13709736,0.8171296,0.13709736
25,0.11089221865267437,0.85882354,0.11089221,0.1111512,0.8726852,0.111151196
26,0.08938869827372187,0.91764706,0.08938869,0.08830162,0.9305556,0.08830162
27,0.06483772590427714,0.9705882,0.06483772,0.060816254,0.9791667,0.060816254
28,0.043580971806145764,0.9941176,0.04358097,0.042897604,1.0,0.042897604
29,0.029763927981805275,1.0,0.029763928,0.028059939,1.0,0.02805994
30,0.02220281486344688,1.0,0.022202816,0.020937826,1.0,0.020937828
31,0.016524358334786753,1.0,0.016524358,0.016786452,1.0,0.016786452
32,0.013070756470894113,1.0,0.013070756,0.014748703,1.0,0.014748704
33,0.010971362576546038,1.0,0.010971363,0.012404226,1.0,0.012404227
34,0.009210753932540469,1.0,0.009210754,0.010000541,1.0,0.010000541
35,0.008002726146129563,1.0,0.008002727,0.008743219,1.0,0.008743219
36,0.006956345141481827,1.0,0.0069563454,0.008188303,1.0,0.008188302
37,0.0062748836846474336,1.0,0.006274884,0.007073045,1.0,0.007073045
38,0.005599464741809403,1.0,0.0055994643,0.0065346817,1.0,0.0065346817
39,0.00512501232271247,1.0,0.0051250122,0.005751651,1.0,0.0057516503
40,0.00462081478223862,1.0,0.004620815,0.005245766,1.0,0.0052457657
41,0.004256756043554667,1.0,0.004256756,0.00501372,1.0,0.00501372
42,0.003933920803041581,1.0,0.003933921,0.004612046,1.0,0.004612046
43,0.0036775643259341663,1.0,0.0036775644,0.0042946776,1.0,0.0042946776
44,0.0034319393740802565,1.0,0.0034319393,0.0039018784,1.0,0.0039018781
45,0.0032116263872012498,1.0,0.0032116266,0.0036857454,1.0,0.0036857454
46,0.003003417921033414,1.0,0.0030034177,0.0034946876,1.0,0.0034946878
47,0.002871086066314841,1.0,0.0028710861,0.00329795,1.0,0.00329795
48,0.0026783304199959864,1.0,0.0026783303,0.0031335135,1.0,0.0031335135
49,0.002539532513165956,1.0,0.0025395323,0.002998586,1.0,0.002998586
50,0.002441260834251914,1.0,0.0024412607,0.0028537111,1.0,0.0028537111
51,0.0023013623794266845,1.0,0.0023013623,0.0027265206,1.0,0.0027265209
