epoch,loss,BinaryAccuracy,MSE,Test_loss,Test_BinaryAccuracy,Test_MSE
0,0.2493392905739487,0.57377046,0.2493393,0.24911821,0.5810185,0.2491182
1,0.24879531782181535,0.58196723,0.2487953,0.24858744,0.6134259,0.24858744
2,0.2481009522910978,0.63114756,0.24810097,0.24790666,0.6412037,0.24790666
3,0.247260574923187,0.647541,0.24726059,0.24705523,0.6643519,0.24705522
4,0.24629855009376025,0.6803279,0.24629852,0.24598517,0.6851852,0.24598518
5,0.24494168944046146,0.74590164,0.24494168,0.24467033,0.7037037,0.24467035
6,0.24335925061194624,0.72131145,0.24335925,0.24290933,0.7337963,0.24290933
7,0.2413672597193327,0.78688526,0.24136727,0.240685,0.7546296,0.240685
8,0.23878971206360175,0.78688526,0.23878969,0.23788328,0.787037,0.2378833
9,0.2354757028524993,0.8360656,0.23547569,0.23426288,0.8194444,0.23426288
10,0.23159154125901518,0.8606557,0.23159155,0.22987267,0.8402778,0.22987267
11,0.2265303916618472,0.8442623,0.2265304,0.22473042,0.8587963,0.22473042
12,0.22086567908036905,0.8852459,0.22086567,0.21829604,0.875,0.21829604
13,0.21412813101635605,0.8770492,0.21412812,0.21099637,0.8912037,0.21099637
14,0.20618404985451308,0.8770492,0.20618406,0.20292269,0.9050926,0.20292269
15,0.19766894666874996,0.90163934,0.19766894,0.19389343,0.9166667,0.19389343
16,0.18830463656636534,0.90983605,0.18830463,0.18367785,0.9305556,0.18367785
17,0.17862647075633534,0.91803277,0.17862646,0.1738261,0.9398148,0.17382608
18,0.1688729403693168,0.91803277,0.16887295,0.162555,0.9444444,0.16255498
19,0.15909787407908282,0.91803277,0.1590979,0.15204848,0.9490741,0.15204848
20,0.14948323283527717,0.92622954,0.14948325,0.14204076,0.9583333,0.14204076
21,0.14051713208194638,0.92622954,0.14051713,0.13206047,0.962963,0.13206047
22,0.13221819149177583,0.92622954,0.13221818,0.12405653,0.962963,0.12405654
23,0.12433337780540107,0.92622954,0.12433339,0.11468173,0.9675926,0.11468173
24,0.11740166486286727,0.92622954,0.11740166,0.107638486,0.9722222,0.10763848
25,0.11102160490805009,0.93442625,0.11102161,0.09987265,0.9722222,0.09987265
26,0.10500991161240907,0.93442625,0.10500991,0.09381271,0.9722222,0.09381272
27,0.09982467247325866,0.93442625,0.09982468,0.08854745,0.9722222,0.08854745
28,0.095176100914107,0.93442625,0.09517609,0.082854,0.9722222,0.082854
29,0.0910620351367798,0.93442625,0.09106204,0.07828671,0.9722222,0.07828671
30,0.08745898758290244,0.93442625,0.08745898,0.073609315,0.9722222,0.07360932
31,0.0844732067608809,0.93442625,0.0844732,0.07039154,0.9722222,0.070391536
32,0.08150012618633079,0.93442625,0.08150011,0.0670917,0.9722222,0.0670917
33,0.07905878510600964,0.93442625,0.07905879,0.06466897,0.9722222,0.06466897
34,0.0768193406068155,0.93442625,0.076819345,0.061811477,0.9722222,0.061811477
35,0.07478290483294452,0.93442625,0.0747829,0.059572846,0.9722222,0.05957285
36,0.07316047670777703,0.93442625,0.073160484,0.057937022,0.9722222,0.057937015
37,0.07147861724017096,0.93442625,0.07147862,0.0561018,0.9722222,0.056101803
38,0.07017296104554514,0.93442625,0.07017296,0.054791823,0.9722222,0.054791823
39,0.0689975859169833,0.93442625,0.06899758,0.05343445,0.9722222,0.05343445
40,0.06793018323025804,0.93442625,0.067930184,0.052332975,0.9722222,0.052332975
41,0.0667737433228825,0.93442625,0.06677374,0.0516556,0.9722222,0.051655598
42,0.06581749758667878,0.93442625,0.0658175,0.050612934,0.9722222,0.050612934
43,0.0650440323868858,0.93442625,0.06504403,0.050365474,0.9722222,0.05036548
44,0.06435735829052378,0.93442625,0.064357355,0.04872022,0.9722222,0.04872022
45,0.06366174130654725,0.93442625,0.06366175,0.04811111,0.9722222,0.04811111
46,0.0628167004648932,0.93442625,0.062816694,0.048350953,0.9722222,0.048350953
47,0.06234418241436914,0.93442625,0.062344182,0.047823146,0.9722222,0.04782315
48,0.061787917335960466,0.93442625,0.061787914,0.047289163,0.9722222,0.047289163
49,0.06148757653494106,0.93442625,0.061487574,0.046527892,0.9722222,0.046527896
50,0.06080708353490126,0.93442625,0.060807087,0.046375327,0.9722222,0.04637533
51,0.06048280333519959,0.93442625,0.0604828,0.045285765,0.9722222,0.045285765
52,0.059836561203796844,0.93442625,0.05983656,0.04579379,0.9722222,0.04579379
53,0.059454611287887406,0.93442625,0.05945461,0.045022648,0.9722222,0.045022648
54,0.05904148065591933,0.93442625,0.05904148,0.045301393,0.9722222,0.045301396
55,0.058741358358825206,0.93442625,0.058741357,0.04473551,0.9722222,0.04473551
56,0.05831166038091187,0.93442625,0.058311664,0.044661827,0.9722222,0.044661827
57,0.05795368740571755,0.93442625,0.057953686,0.04429955,0.9722222,0.044299547
58,0.05766002184589256,0.93442625,0.057660017,0.043651704,0.9722222,0.043651704
59,0.05740635159862472,0.93442625,0.05740635,0.043440077,0.9722222,0.043440077
60,0.057008031994718905,0.93442625,0.05700803,0.043383673,0.9722222,0.043383677
61,0.05678233572426939,0.93442625,0.056782335,0.043703414,0.9722222,0.04370341
62,0.05642673635156825,0.93442625,0.05642674,0.043562,0.9722222,0.043562
63,0.056255959703388515,0.93442625,0.05625596,0.04346631,0.9722222,0.043466315
64,0.055945657911237144,0.93442625,0.055945657,0.04365902,0.9699074,0.04365902
65,0.05564976778724918,0.93442625,0.055649765,0.042848464,0.9722222,0.042848464
66,0.055457200056092705,0.93442625,0.055457197,0.044102237,0.9699074,0.044102233
67,0.05519395094860124,0.93442625,0.05519395,0.04439506,0.9675926,0.04439506
68,0.05495762118385517,0.94262296,0.054957625,0.043467753,0.9699074,0.043467753
69,0.05466482809317283,0.94262296,0.054664828,0.042723726,0.9699074,0.042723726
70,0.054559691256383575,0.94262296,0.05455969,0.043062527,0.9675926,0.043062527
71,0.054378624414819006,0.94262296,0.054378625,0.043298572,0.9675926,0.043298572
72,0.054080152440292295,0.94262296,0.05408015,0.042544596,0.9675926,0.042544592
73,0.0539698134124905,0.94262296,0.053969815,0.042710844,0.9675926,0.042710844
74,0.05373275417788718,0.93442625,0.05373275,0.043254208,0.9675926,0.043254208
75,0.053613638114107805,0.94262296,0.05361364,0.043144435,0.9675926,0.043144435
76,0.05335270807807349,0.93442625,0.053352706,0.044482037,0.9652778,0.044482034
77,0.053080533415729894,0.94262296,0.053080536,0.04521256,0.962963,0.04521256
78,0.05309434748635452,0.94262296,0.05309435,0.0454509,0.962963,0.045450896
79,0.05292220728865015,0.94262296,0.05292222,0.045117006,0.962963,0.04511701
80,0.05283013225550244,0.94262296,0.052830134,0.043939907,0.9652778,0.043939907
81,0.05269015739556425,0.94262296,0.052690156,0.043479867,0.9652778,0.04347987
82,0.052462180903692895,0.94262296,0.05246218,0.043139864,0.9652778,0.04313986
83,0.052176398276656745,0.94262296,0.052176397,0.043331966,0.9652778,0.04333197
84,0.05217548072544217,0.94262296,0.052175477,0.043500636,0.9652778,0.043500632
85,0.05212133483518465,0.94262296,0.052121334,0.044486515,0.9606481,0.04448651
86,0.05193704158472294,0.94262296,0.051937044,0.044188756,0.9606481,0.044188756
87,0.05158708973493824,0.94262296,0.051587086,0.042684183,0.9652778,0.042684183
88,0.05149153649013062,0.94262296,0.051491532,0.04196234,0.9652778,0.04196234
89,0.05133986483484537,0.94262296,0.05133986,0.04342024,0.9606481,0.043420237
90,0.051179907741750304,0.94262296,0.051179912,0.043022156,0.962963,0.043022152
91,0.05106842318586967,0.94262296,0.05106842,0.042064,0.9652778,0.042064
92,0.05114629514063098,0.94262296,0.051146295,0.04234846,0.962963,0.04234846
93,0.05089245247451844,0.94262296,0.050892457,0.04259371,0.962963,0.042593706
94,0.050877675528592264,0.94262296,0.050877668,0.04271195,0.9606481,0.04271195
95,0.05084891389930415,0.94262296,0.050848912,0.042767994,0.9606481,0.042767994
96,0.050642533312250146,0.94262296,0.050642528,0.04301651,0.9606481,0.04301651
97,0.05057105486430075,0.94262296,0.05057106,0.04301719,0.9606481,0.04301719
